species	rank	group	number_AMPs
Escherichia coli	Species	OMS	1
Romboutsia ilealis	Species	OMS	1
Phocaeicola	Genus	OMS	1
Faecalibacterium prausnitzii	Species	O	1
Bacteria	Phylum	OMS	1
Phocaeicola dorei plasmid	Other	O	1
Caudovirales	Order	O	1
Caudovirales	Order	OMS	1
Human fecal viruses	Other	OMS	1
