aa	fraction
K	6.968012130839772
L	5.624954870387754
T	6.773052205935446
F	3.0110477290779114
I	6.195393169181891
Q	2.2239872915011913
S	7.1918550075817755
A	10.773341035453823
G	14.087659758827353
D	2.216766553541772
Y	3.343201675211207
N	5.328904614051557
H	1.7401978482200882
V	6.664741136544154
W	3.487616434399596
M	1.3647194743302766
X	0.33937468409271426
C	5.964329554480468
E	1.8773918694490577
R	1.9351577731244134
P	2.888295183767781
