index,d__Bacteria;p__Bacteroidota;c__Bacteroidia,d__Bacteria;p__Firmicutes;c__Clostridia,d__Bacteria;p__Firmicutes;c__Negativicutes,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,d__Bacteria;p__Actinobacteriota;c__Actinobacteria,d__Bacteria;p__Firmicutes;c__Bacilli,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,d__Bacteria;p__Cyanobacteria;c__Vampirivibrionia,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia,d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia,d__Bacteria;__;__,d__Bacteria;p__Firmicutes;__,d__Bacteria;p__Campilobacterota;c__Campylobacteria,d__Bacteria;p__Synergistota;c__Synergistia,Unassigned;__;__,d__Archaea;p__Euryarchaeota;c__Methanobacteria,d__Bacteria;p__Firmicutes;c__Incertae_Sedis,d__Bacteria;p__Deferribacterota;c__Deferribacteres,d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia,group
153,31393.0,31179.0,410.0,8290.0,253.0,806.0,1509.0,28.0,504.0,183.0,9.0,0.0,0.0,0.0,50.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,OMS
090,28991.0,12720.0,4801.0,374.0,84.0,237.0,82.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,O
024,30607.0,30240.0,12605.0,2153.0,202.0,673.0,163.0,14.0,70.0,440.0,0.0,0.0,20.0,0.0,32.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,O
015,72462.0,11947.0,2215.0,880.0,119.0,156.0,10.0,49.0,36.0,5.0,0.0,0.0,2.0,0.0,18.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,NW
074,54396.0,61069.0,3679.0,2692.0,1847.0,3012.0,48.0,83.0,142.0,274.0,0.0,0.0,1.0,0.0,68.0,2.0,12.0,20.0,53.0,0.0,0.0,0.0,0.0,O
146,49659.0,14116.0,675.0,3667.0,1315.0,1559.0,0.0,248.0,5.0,4.0,1.0,46.0,0.0,1.0,12.0,3.0,3.0,0.0,17.0,0.0,0.0,0.0,0.0,OMS
258,99839.0,125938.0,908.0,7007.0,9496.0,9765.0,7.0,689.0,42.0,63.0,92.0,5.0,9.0,0.0,174.0,17.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,OMS
164,86782.0,33223.0,671.0,486.0,867.0,357.0,7.0,51.0,430.0,398.0,47.0,1.0,0.0,16.0,56.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,NW
