index	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales	d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales	d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales	d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales	d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group	d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales	d__Bacteria;p__Cyanobacteria;c__Vampirivibrionia;o__Gastranaerophilales	d__Bacteria;p__Firmicutes;c__Clostridia;__	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Chloroplast	d__Bacteria;__;__;__	d__Bacteria;p__Firmicutes;__;__	d__Bacteria;p__Firmicutes;c__Clostridia;o__MAT-CR-H4-C10	d__Bacteria;p__Firmicutes;c__Bacilli;__	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales	d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales	Unassigned;__;__;__	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales	d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales	d__Bacteria;p__Firmicutes;c__Bacilli;o__Izemoplasmatales	d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales	d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia	d__Bacteria;p__Firmicutes;c__Incertae_Sedis;o__DTU014	d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales	d__Bacteria;p__Firmicutes;c__Clostridia;o__uncultured	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__Elusimicrobiales	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__
015	72462.0	5891.0	5326.0	2071.0	744.0	117.0	81.0	101.0	313.0	0.0	9.0	144.0	49.0	56.0	32.0	36.0	55.0	53.0	5.0	220.0	2.0	63.0	0.0	20.0	23.0	0.0	0.0	0.0	2.0	0.0	18.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	2.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
164	86782.0	22405.0	10447.0	651.0	345.0	867.0	86.0	284.0	57.0	24.0	7.0	20.0	51.0	192.0	44.0	430.0	50.0	18.0	396.0	2.0	17.0	60.0	47.0	24.0	4.0	0.0	1.0	0.0	0.0	16.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	5.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
024	30550.0	10242.0	17483.0	12592.0	1943.0	198.0	140.0	443.0	1451.0	0.0	135.0	13.0	14.0	177.0	23.0	70.0	69.0	65.0	440.0	161.0	499.0	83.0	0.0	73.0	201.0	57.0	0.0	0.0	20.0	0.0	32.0	1.0	6.0	3.0	28.0	0.0	2.0	0.0	4.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
074	54396.0	28429.0	30794.0	3672.0	2075.0	1844.0	600.0	300.0	1097.0	1577.0	34.0	7.0	83.0	314.0	1124.0	142.0	7.0	148.0	274.0	46.0	12.0	153.0	0.0	75.0	9.0	0.0	0.0	0.0	1.0	0.0	68.0	2.0	0.0	0.0	14.0	12.0	20.0	1.0	2.0	53.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	10.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
090	28991.0	4328.0	7959.0	4799.0	105.0	84.0	259.0	42.0	62.0	1.0	82.0	2.0	3.0	128.0	172.0	7.0	10.0	167.0	0.0	51.0	4.0	10.0	0.0	11.0	22.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
146	49659.0	9027.0	4950.0	39.0	2761.0	1307.0	903.0	1521.0	25.0	5.0	0.0	636.0	248.0	21.0	27.0	5.0	3.0	13.0	4.0	2.0	1.0	54.0	1.0	3.0	6.0	0.0	46.0	0.0	0.0	1.0	12.0	3.0	0.0	0.0	0.0	3.0	0.0	3.0	0.0	17.0	5.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
153	31393.0	12143.0	16406.0	37.0	7819.0	252.0	461.0	400.0	1655.0	4.0	1508.0	373.0	28.0	34.0	88.0	504.0	4.0	660.0	180.0	17.0	11.0	129.0	9.0	121.0	313.0	0.0	0.0	6.0	0.0	0.0	50.0	2.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	2.0	2.0	1.0	1.0	0.0	0.0
258	99839.0	86874.0	37569.0	882.0	1996.0	9491.0	4834.0	8759.0	244.0	2.0	5.0	26.0	689.0	141.0	974.0	42.0	103.0	469.0	63.0	62.0	65.0	301.0	92.0	212.0	30.0	0.0	5.0	72.0	9.0	0.0	174.0	17.0	0.0	0.0	2.0	0.0	0.0	5.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
