index,d__Bacteria,Unassigned,d__Archaea,group
153,74621.0,2.0,0.0,OMS
090,47302.0,3.0,0.0,O
024,77222.0,0.0,1.0,O
015,87899.0,22.0,0.0,NW
074,127345.0,53.0,0.0,O
146,71314.0,17.0,0.0,OMS
258,254051.0,5.0,0.0,OMS
164,123392.0,1.0,0.0,NW
