	RL509-mf	RL511-mf	RL514-mf	RL516-mf	RL518-mf	RL528-mf	RL568-mf	RL569-mf	RL573-mf	RL585-mf	RL591-mf	RL601-mf	RL605-mf	RL606-mf	RL607-mf	RL610-mf	RL613-mf	RL616-mf	RL619-mf	RL621-mf	RL625-mf	RL627-mf	RL628-mf	RL641-mf	RL651-mf	RL654-mf	RL656-12	RL656-3	RL656-6	RL656-mf	RL659-mf	RL663-mf	RL665-mf	RL667-mf	RL668-mf	RL679-mf	RL680-mf	RL682-mf	RL683-mf	RL686-mf	RL691-mf	RL693-mf	RL700-mf	RL703-mf	RL704-mf	RL725-mf
AMP 8681 (Caudovirales)	105	235	2	50	3	135	628	39	63	151	0	55	11	70	137	55	2569	270	12	0	9	0	0	0	88	6	155	1229	3273	229	0	190	124	530	0	306	200	181	2922	0	16	10	55	1	0	809
AMP 8200 (Bacteroides dorei plasmid)	5	2	0	13	0	4	21	9	7	2	10	3	11	3	1	2	21	15	2	7	1	0	1	0	131	6	0	9	36	84	67	29	51	10	9	1	12	20	4	0	0	6	3	30	164	310
AMP 2526 (Romboutsia ilealis)	18	103	107	187	7	5	4	5	9	180	6	0	2	125	87	0	7	56	232	9	148	19	62	1	4	76	74	0	102	137	72	2281	156	0	202	203	955	297	31	6	57	113	108	0	111	395
AMP 3020 (Caudovirales)	4	41	0	82	194	268	931	158	23	414	2	108	49	639	7	232	153	200	48	3	5	0	26	1	1336	289	2602	566	2140	3	2369	45	735	1290	490	0	948	32	1	423	141	569	144	72	3037	32
AMP 2198 (Blautia wexlerae)	199	2088	502	206	453	4808	852	107	618	69	2	2289	367	4656	4810	3436	187	167	150	272	164	2570	1832	10058	128	275	1196	1488	292	2299	5300	16	64	9081	2967	1373	1338	1214	445	97	1818	14981	1489	1747	355	88
AMP 3076 (Escherichia coli)	210	8	389	1283	75	81	154	29499	68	537	1538	4	124	38	491	80	78	30	17	2711	3	435	100	1772	28061	559	213	1406	28256	131	5	240	649	1339	865	60	463	289	183	8	1322	505	2660	14804	2177	336
AMP 3096 (Bacteroides spp.)	532	2118	346	1038	685	15257	16097	4868	642	3407	10012	119	791	13520	348	32618	12088	1145	3831	9518	30	99998	21579	30001	28243	701	6025	61432	85439	18555	21104	35061	24011	10404	42816	38204	13535	6206	31952	149	5529	41566	368	8711	89894	6183
AMP 5245 (Human fecal virus)	240	20138	1758	3426	16252	6931	6808	2230	2465	13717	18	12732	4472	35811	8299	38584	1539	2432	3288	2755	565	20334	30471	30968	32302	42179	30131	2585	3937	17101	29615	1119	53472	10851	11617	42304	20737	12613	7018	5103	12280	47877	5440	17321	30916	54
AMP 5865 (Faecalibacterium spp.)	263	3430	198	923	174	903	672	1102	1011	1903	1	6483	724	4465	143	2859	3602	1293	235	129	197	7259	32	27	1358	842	4	761	347	3165	2956	3766	19149	1993	562	3956	3703	6473	1461	70	7060	1457	3585	289	1	79
