# Constructed from biom file
#OTU ID	258_B3	153_B3	090_subseq	074_B2	146_B1	015_B4	164_B1	024_B2
TRINITY_DN144095_c1_g1_i3	330.72	0.0	0.0	0.0	0.0	112.81	0.0	169.73
TRINITY_DN142340_c0_g1_i1	1.23	0.0	0.0	0.0	6.84	1.04	0.0	2.51
TRINITY_DN137178_c1_g1_i1	0.0	0.0	5.0	0.0	2.0	1.0	0.0	0.0
TRINITY_DN137665_c1_g1_i6	1.0	6.0	1.0	0.0	0.0	0.0	0.0	4.71
TRINITY_DN141904_c4_g1_i1	1.0	41.0	0.0	0.0	0.0	33.0	0.0	0.0
TRINITY_DN145831_c5_g1_i5	4.24	0.0	2.0	0.0	0.0	2.0	0.0	0.0
TRINITY_DN145613_c33_g1_i2	9.0	0.0	13.19	64.0	7.0	3.0	59.0	0.0
TRINITY_DN142224_c5_g2_i1	0.0	0.0	0.0	7.0	1.0	1.0	0.0	0.0
TRINITY_DN141909_c3_g3_i1	2.0	0.0	1.0	0.0	3.0	0.0	0.0	2.0
TRINITY_DN132578_c2_g1_i1	0.0	28.0	0.0	0.0	0.0	2.0	0.0	1.0
TRINITY_DN141279_c11_g2_i1	0.0	0.0	0.0	37.0	0.0	1.0	0.0	1.63
TRINITY_DN145617_c0_g1_i12	0.0	0.0	0.0	0.0	30.31	2.0	0.0	19.95
TRINITY_DN141956_c4_g2_i1	0.0	0.0	47.0	0.0	15.0	0.0	0.0	2.0
TRINITY_DN146943_c0_g1_i1	5.97	0.0	1.11	12.0	4.88	1.0	0.0	3.62
TRINITY_DN142927_c7_g2_i2	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0
TRINITY_DN144044_c6_g1_i2	8.0	0.0	1.0	0.0	6.0	8.0	0.0	1.0
TRINITY_DN141994_c15_g1_i1	2.0	0.0	1.0	0.0	0.0	1.0	0.0	4.0
TRINITY_DN145434_c4_g1_i8	1.0	0.0	0.0	0.0	2.0	0.0	0.0	3.0
TRINITY_DN140598_c0_g3_i3	0.0	0.0	0.0	0.0	26.0	1.0	0.0	1.0
TRINITY_DN141104_c10_g3_i4	0.0	31.0	0.0	0.0	1.0	11.0	0.0	0.0
TRINITY_DN139151_c4_g3_i7	20.03	0.0	0.0	0.0	0.0	6.96	0.0	6.31
TRINITY_DN142174_c7_g1_i1	0.99	0.93	1.91	0.0	0.0	2.17	1.12	2.43
TRINITY_DN140299_c1_g4_i1	1.0	0.0	1.0	0.0	0.0	0.0	11.0	0.0
TRINITY_DN140875_c1_g1_i3	1.0	0.0	4.0	0.0	2.0	0.0	0.0	1.01
TRINITY_DN145036_c19_g2_i2	5.24	0.0	12.28	4.76	3283.21	21.26	39.0	1.03
TRINITY_DN145841_c0_g1_i17	0.99	0.0	66.05	0.0	0.0	0.0	0.0	2.41
TRINITY_DN39610_c0_g1_i1	0.98	0.0	0.0	0.0	0.0	3.0	0.0	0.97
TRINITY_DN140488_c3_g4_i1	1.0	0.0	2.0	0.0	3.0	0.0	0.0	0.0
TRINITY_DN135592_c1_g1_i2	0.0	8.0	0.0	0.0	0.0	11.09	0.0	3.51
TRINITY_DN136273_c1_g1_i3	2.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
TRINITY_DN141904_c3_g3_i1	1.0	0.0	0.0	0.0	21.13	3.0	0.0	1.0
TRINITY_DN131057_c0_g1_i1	0.0	0.0	0.0	0.0	5.0	1.0	0.0	1.0
TRINITY_DN139980_c3_g1_i4	9.6	0.0	0.0	0.0	5.01	0.0	3.0	0.0
TRINITY_DN133942_c0_g1_i2	1.0	0.0	0.0	0.0	7.0	1.0	0.0	9.0
TRINITY_DN144460_c2_g1_i8	18.13	0.0	12.1	2.01	52.21	25.3	2.0	82.88
TRINITY_DN136830_c1_g2_i7	0.93	0.0	0.5	5.5	0.0	0.0	0.0	0.0
TRINITY_DN126822_c0_g1_i1	0.0	0.0	0.0	0.0	3.0	1.0	0.0	1.0
TRINITY_DN138141_c2_g1_i1	1.0	0.0	1.0	0.0	7.12	0.0	0.0	0.0
TRINITY_DN142271_c2_g1_i1	0.0	0.0	2.0	0.0	0.0	5.0	0.0	1.0
TRINITY_DN145228_c1_g1_i16	4.09	0.0	0.0	0.0	2.05	4.0	0.0	2.0
TRINITY_DN141075_c3_g1_i2	0.0	0.0	1.0	1.85	0.0	4.18	0.0	7.79
TRINITY_DN142038_c0_g1_i2	4.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
TRINITY_DN141541_c3_g1_i7	1.99	0.0	1.78	5.0	0.0	0.0	0.0	0.0
TRINITY_DN143183_c5_g1_i5	1.94	0.0	0.0	0.0	0.0	0.0	4.0	1.0
TRINITY_DN143335_c2_g2_i1	0.0	26.0	1.0	35.0	0.0	0.98	0.0	14.34
TRINITY_DN135563_c0_g1_i1	3.0	0.0	0.0	0.0	7.0	1.0	0.0	0.0
TRINITY_DN144618_c0_g1_i1	3.97	0.0	3.21	2.06	16.72	0.16	0.98	4.97
TRINITY_DN140068_c5_g1_i2	7.26	0.0	8.0	0.0	12.51	3.0	0.0	0.0
TRINITY_DN143367_c3_g1_i2	3.0	0.0	3.0	0.0	0.0	0.0	0.0	2.0
TRINITY_DN144751_c7_g1_i9	13.0	0.0	2.0	0.0	29.89	3.0	0.0	6.0
TRINITY_DN142438_c2_g2_i3	0.0	0.0	1.97	0.0	1.0	0.0	2.0	0.0
TRINITY_DN142438_c3_g3_i3	8.05	0.0	2.39	0.0	4.0	1.0	0.0	1.0
