#OTU ID	024_B2	074_B2	090_subseq	146_B1	153_B3	258_B3
TRINITY_DN141142_c7_g8_i1	0	0	0	1	0	11
TRINITY_DN142732_c5_g2_i1	10	0	0	0	124	0
TRINITY_DN134406_c6_g1_i1	1	0	0	0	22	0
TRINITY_DN143113_c1_g1_i11	0	0	1	12	0	0
TRINITY_DN144541_c0_g2_i1	5	0	0	0	0	17
TRINITY_DN141488_c2_g3_i5	1	0	4	0	0	2
TRINITY_DN145098_c7_g1_i1	1	0	5	9	0	3
TRINITY_DN139138_c8_g2_i1	0	0	57	0	14	32
TRINITY_DN134458_c0_g3_i2	2	0	9	0	1	0
TRINITY_DN137446_c0_g1_i1	0	0	0	1	0	1
TRINITY_DN142363_c4_g1_i1	0	0	3	23	0	12
TRINITY_DN135798_c3_g7_i1	0	3	1	0	0	2
TRINITY_DN143643_c5_g2_i1	1	0	0	0	8	2
TRINITY_DN139733_c1_g1_i2	1	0	1	1	0	1
TRINITY_DN143045_c2_g1_i3	1	0	1	1	0	0
TRINITY_DN143943_c2_g4_i4	0	0	6	4	0	1
TRINITY_DN141946_c0_g1_i6	0	0	1	0	0	1
TRINITY_DN144369_c5_g3_i2	0	0	0	11	0	1
TRINITY_DN138672_c2_g5_i1	0	0	1	1	0	1
TRINITY_DN145437_c12_g1_i1	5	0	0	396	0	14
TRINITY_DN142337_c4_g1_i1	0	0	0	0	0	22
TRINITY_DN84234_c5_g1_i1	21	0	3	5749	0	0
TRINITY_DN139322_c2_g1_i1	2	0	0	2	0	0
TRINITY_DN144528_c0_g2_i1	1	0	1	23	0	0
TRINITY_DN145171_c1_g1_i4	1	0	71	1	86	3
TRINITY_DN132736_c2_g2_i1	4	0	0	0	33	0
TRINITY_DN143228_c5_g12_i1	2	0	24	0	13	0
TRINITY_DN138818_c3_g1_i1	0	0	2	1	0	3
TRINITY_DN138173_c1_g1_i8	0	0	1	0	0	4
TRINITY_DN142304_c20_g2_i2	0	0	54	5	0	16
TRINITY_DN141075_c3_g5_i1	1	0	2	0	0	27
TRINITY_DN137753_c0_g3_i1	1	2	5	0	0	15
