taxa	amp	group	value	pvalue
f_Gemellaceae	AMP 5245 (Human fecal virus)	OMS	-0.878310066	0.021311641
g_Gemella	AMP 3076 (Escherichia coli)	OMS	-0.891132789	0.017132954
g_Gemella	AMP 5245 (Human fecal virus)	OMS	-0.878310066	0.021311641
g_Holdemania	AMP 3076 (Escherichia coli)	OMS	-0.882352941	0.019947079
g_Holdemania	AMP 5245 (Human fecal virus)	OMS	-0.81167945	0.049857585
g_Intestinimonas	AMP 3076 (Escherichia coli)	OMS	-0.81167945	0.049857585
s_Intestinimonas sp.	AMP 5865 (Faecalibacterium spp.) 	O	-0.885364878	0.018958595
g_Lachnospiraceae UCG-010	AMP 3076 (Escherichia coli)	OMS	-0.840668002	0.036057573
g_Lachnospiraceae UCG-010	AMP 5245 (Human fecal virus)	OMS	-0.885714286	0.018845481
g_Moryella	AMP 3076 (Escherichia coli)	OMS	-0.970588235	0.001284857
g_Moryella	AMP 5245 (Human fecal virus)	OMS	-0.927633657	0.007665844
g_Moryella	AMP 3096 (Bacteroides spp.)	OMS	-0.869656553	0.024376892
s_Moryella sp.	AMP 3076 (Escherichia coli)	OMS	-0.970588235	0.001284857
s_Moryella sp.	AMP 5245 (Human fecal virus)	OMS	-0.927633657	0.007665844
s_Moryella sp.	AMP 3096 (Bacteroides spp.)	OMS	-0.869656553	0.024376892
g_Oscillospiracea UCG-002	AMP 3076 (Escherichia coli)	OMS	-0.840668002	0.036057573
g_Oscillospiracea UCG-002	AMP 5245 (Human fecal virus)	OMS	-0.885714286	0.018845481
s_Oscillibacter sp.	AMP 3076 (Escherichia coli)	OMS	-0.924061655	0.008430994
s_Oscillibacter sp.	AMP 5245 (Human fecal virus)	OMS	-0.941123948	0.005097541
s_Oscillibacter sp.	AMP 3096 (Bacteroides spp.)	OMS	-0.8196886	0.045837141
g_Phocea	AMP 3076 (Escherichia coli)	OMS	-0.892369615	0.016753038
g_Phocea	AMP 5245 (Human fecal virus)	OMS	-0.83323809	0.039395516
f_Rikenellaceae	AMP 3076 (Escherichia coli)	OMS	-0.927633657	0.007665844
f_Rikenellaceae	AMP 5245 (Human fecal virus)	OMS	-0.885714286	0.018845481
s_Trichuris trichiura	AMP 3076 (Escherichia coli)	OMS	-0.81167945	0.049857585
s_Trichuris trichiura	AMP 5245 (Human fecal virus)	OMS	-0.828571429	0.041562682
f_Yersiniaceae	AMP 8681 (Caudovirales)	OMS	-0.819782295	0.045791039
