sequence	GRAVY index
>dbAMP_00029	-0.04942528735632184
>dbAMP_00051	0.17567567567567569
>dbAMP_00054	-0.07333333333333333
>dbAMP_00057	0.42608695652173917
>dbAMP_00059	0.21061946902654868
>dbAMP_00088	-0.4897959183673469
>dbAMP_00121	0.4766666666666666
>dbAMP_00122	0.33999999999999997
>dbAMP_00123	0.4133333333333333
>dbAMP_00148	0.296969696969697
>dbAMP_00189	-1.0375
>dbAMP_00199	-0.03378378378378379
>dbAMP_00207	0.2692307692307692
>dbAMP_00247	-0.35106382978723405
>dbAMP_00283	-0.07674418604651162
>dbAMP_00293	1.0966666666666667
>dbAMP_00302	-1.0
>dbAMP_00303	-1.0
>dbAMP_00304	-0.863157894736842
>dbAMP_00305	-0.863157894736842
>dbAMP_00306	-0.7263157894736842
>dbAMP_00307	-1.2421052631578948
>dbAMP_00308	-1.1894736842105265
>dbAMP_00352	0.6666666666666666
>dbAMP_00354	0.09999999999999996
>dbAMP_00358	-0.1888888888888889
>dbAMP_00359	-0.2555555555555556
>dbAMP_00365	0.22499999999999998
>dbAMP_00390	0.4461538461538461
>dbAMP_00404	0.09999999999999996
>dbAMP_00420	0.24888888888888888
>dbAMP_00427	-0.304
>dbAMP_00436	0.17407407407407408
>dbAMP_00437	0.06363636363636363
>dbAMP_00447	-0.5113207547169811
>dbAMP_00449	-1.5125
>dbAMP_00464	0.5199999999999999
>dbAMP_00468	-0.2938053097345133
>dbAMP_00469	-1.5875
>dbAMP_00484	-0.21000000000000002
>dbAMP_00512	-0.5352112676056338
>dbAMP_00542	-0.37317073170731707
>dbAMP_00543	-0.18536585365853658
>dbAMP_00563	0.364
>dbAMP_00564	-0.041250000000000016
>dbAMP_00565	-0.0034090909090909237
>dbAMP_00566	1.4052631578947368
>dbAMP_00569	0.5399999999999999
>dbAMP_00570	0.7625
>dbAMP_00572	0.0033333333333333327
>dbAMP_00579	1.019047619047619
>dbAMP_00585	-0.1506849315068493
>dbAMP_00587	-0.08230088495575222
>dbAMP_00668	-0.4258823529411765
>dbAMP_00669	-0.37607843137254904
>dbAMP_00670	1.1090909090909091
>dbAMP_00672	-1.6500000000000001
>dbAMP_00673	-0.21363636363636365
>dbAMP_00674	-0.2727272727272727
>dbAMP_00675	-0.2210526315789474
>dbAMP_00676	-0.15
>dbAMP_00680	-0.4603921568627451
>dbAMP_00682	0.0
>dbAMP_00687	-0.7454545454545454
>dbAMP_00688	-0.7511627906976743
>dbAMP_00689	-0.6906976744186046
>dbAMP_00690	-0.7743589743589744
>dbAMP_00691	-0.9076923076923077
>dbAMP_00693	-0.43255813953488365
>dbAMP_00694	-0.41250000000000003
>dbAMP_00695	0.03103448275862069
>dbAMP_00698	-0.5632768361581921
>dbAMP_00727	-0.46923076923076923
>dbAMP_00747	0.5466666666666667
>dbAMP_00752	0.04444444444444443
>dbAMP_00759	0.14444444444444443
>dbAMP_00769	-0.36
>dbAMP_00783	-0.5105263157894737
>dbAMP_00789	0.10714285714285712
>dbAMP_00864	-0.7777777777777778
>dbAMP_00874	-0.18947368421052635
>dbAMP_00877	-1.130232558139535
>dbAMP_00879	-0.2729166666666667
>dbAMP_00880	1.1714285714285713
>dbAMP_00881	1.1571428571428573
>dbAMP_00882	1.1571428571428573
>dbAMP_00883	1.1428571428571428
>dbAMP_00884	1.1571428571428573
>dbAMP_00922	-0.2210526315789474
>dbAMP_00923	-0.16842105263157894
>dbAMP_00929	-0.6333333333333333
>dbAMP_00930	-0.29000000000000004
>dbAMP_00933	0.8307692307692308
>dbAMP_00935	0.9400000000000001
>dbAMP_00936	0.8578947368421053
>dbAMP_00938	0.428125
>dbAMP_00942	0.7727272727272727
>dbAMP_00954	-0.16842105263157894
>dbAMP_00962	0.15263157894736837
>dbAMP_00963	1.4214285714285713
>dbAMP_00968	-0.4555555555555556
