aa	fraction
A	9.54104598821291
G	11.49937352081303
N	5.406283354215973
P	3.3922687827741425
S	7.341407953965382
E	3.9816232771822357
T	6.339041254814609
V	6.594273516172445
Y	3.1509582811267345
F	3.1996844401132303
L	7.304283261404241
D	4.137082927282008
K	6.638359088588798
R	3.3829876096338576
C	3.415471715624855
W	2.3249338716413757
Q	2.589447306139496
I	5.844818785094437
H	1.8747969743375563
M	1.851594041486844
X	0.18098287623555617
U	0.004640586570142467
Z	0.004640586570142467
