aa	fraction
A	9.931699240117087
G	12.323704207445079
N	5.4256231335560745
P	3.2553738801336447
S	7.3785517873510535
E	3.2405901658732743
T	6.528488217379734
V	6.639366074332516
Y	3.215457851630644
F	3.1415392803287894
L	6.76354927411963
D	3.431300079832057
K	6.697022559947961
R	2.937524023535673
C	4.2961473640637475
W	2.7216817953342596
Q	2.4925342242985127
I	5.977055675467905
H	1.8376156825640872
M	1.6956920256645278
X	0.06948345702374265
