dose	repl	time	od_value
100 µg/mL	1	0	0.045
100 µg/mL	2	0	0.045
100 µg/mL	3	0	0.045
Control	1	0	0.048
Control	2	0	0.049
Control	3	0	0.049
100 µg/mL	1	5	0.121
100 µg/mL	2	5	0.121
100 µg/mL	3	5	0.121
Control	1	5	0.127
Control	2	5	0.132
Control	3	5	0.13
100 µg/mL	1	7	0.264
100 µg/mL	2	7	0.242
100 µg/mL	3	7	0.25
Control	1	7	0.322
Control	2	7	0.323
Control	3	7	0.324
100 µg/mL	1	20	0.577
100 µg/mL	2	20	0.577
100 µg/mL	3	20	0.57
Control	1	20	0.639
Control	2	20	0.678
Control	3	20	0.65
