dose	repl	time	od_value
100 µg/mL	1	0	0.053
100 µg/mL	2	0	0.057
100 µg/mL	3	0	0.051
Control	1	0	0.055
Control	2	0	0.064
Control	3	0	0.058
100 µg/mL	1	5	0.213
100 µg/mL	2	5	0.165
100 µg/mL	3	5	0.172
Control	1	5	0.174
Control	2	5	0.16
Control	3	5	0.154
100 µg/mL	1	7	0.269
100 µg/mL	2	7	0.293
100 µg/mL	3	7	0.282
Control	1	7	0.238
Control	2	7	0.206
Control	3	7	0.198
100 µg/mL	1	20	0.301
100 µg/mL	2	20	0.428
100 µg/mL	3	20	0.572
Control	1	20	0.36
Control	2	20	0.484
Control	3	20	0.589
