dose	repl	time	od_value
100 µg/mL	1	0	0.049
100 µg/mL	2	0	0.045
100 µg/mL	3	0	0.048
Control	1	0	0.047
Control	2	0	0.049
Control	3	0	0.05
100 µg/mL	1	5	0.053
100 µg/mL	2	5	0.05
100 µg/mL	3	5	0.052
Control	1	5	0.147
Control	2	5	0.146
Control	3	5	0.154
100 µg/mL	1	7	0.053
100 µg/mL	2	7	0.05
100 µg/mL	3	7	0.053
Control	1	7	0.204
Control	2	7	0.218
Control	3	7	0.227
100 µg/mL	1	20	0.052
100 µg/mL	2	20	0.051
100 µg/mL	3	20	0.052
Control	1	20	0.585
Control	2	20	0.603
Control	3	20	0.654
