dose	repl	time	od_value
100 µg/mL	1	0	0.051
100 µg/mL	2	0	0.051
100 µg/mL	3	0	0.054
Control	1	0	0.046
Control	2	0	0.048
Control	3	0	0.048
100 µg/mL	1	5	0.049
100 µg/mL	2	5	0.052
100 µg/mL	3	5	0.052
Control	1	5	0.113
Control	2	5	0.107
Control	3	5	0.108
100 µg/mL	1	7	0.051
100 µg/mL	2	7	0.052
100 µg/mL	3	7	0.052
Control	1	7	0.153
Control	2	7	0.146
Control	3	7	0.143
100 µg/mL	1	20	0.051
100 µg/mL	2	20	0.052
100 µg/mL	3	20	0.053
Control	1	20	0.317
Control	2	20	0.303
Control	3	20	0.347
