dose	repl	time	od_value
100 µg/mL	1	0	0.047
100 µg/mL	2	0	0.047
100 µg/mL	3	0	0.047
Control	1	0	0.048
Control	2	0	0.051
Control	3	0	0.048
100 µg/mL	1	5	0.051
100 µg/mL	2	5	0.051
100 µg/mL	3	5	0.051
Control	1	5	0.124
Control	2	5	0.125
Control	3	5	0.119
100 µg/mL	1	7	0.051
100 µg/mL	2	7	0.051
100 µg/mL	3	7	0.051
Control	1	7	0.195
Control	2	7	0.179
Control	3	7	0.181
100 µg/mL	1	20	0.053
100 µg/mL	2	20	0.053
100 µg/mL	3	20	0.052
Control	1	20	0.326
Control	2	20	0.508
Control	3	20	0.513
