dose	repl	time	od_value
100 µg/mL	1	0	0.049
100 µg/mL	2	0	0.052
100 µg/mL	3	0	0.048
Control	1	0	0.048
Control	2	0	0.051
Control	3	0	0.05
100 µg/mL	1	5	0.167
100 µg/mL	2	5	0.158
100 µg/mL	3	5	0.16
Control	1	5	0.134
Control	2	5	0.147
Control	3	5	0.148
100 µg/mL	1	7	0.299
100 µg/mL	2	7	0.25
100 µg/mL	3	7	0.234
Control	1	7	0.218
Control	2	7	0.216
Control	3	7	0.209
100 µg/mL	1	20	0.6
100 µg/mL	2	20	0.474
100 µg/mL	3	20	0.421
Control	1	20	0.561
Control	2	20	0.424
Control	3	20	0.386
