dose	repl	time	od_value
100 µg/mL	1	0	0.045
100 µg/mL	2	0	0.045
100 µg/mL	3	0	0.046
Control	1	0	0.049
Control	2	0	0.05
Control	3	0	0.048
100 µg/mL	1	5	0.049
100 µg/mL	2	5	0.05
100 µg/mL	3	5	0.052
Control	1	5	0.141
Control	2	5	0.135
Control	3	5	0.124
100 µg/mL	1	7	0.05
100 µg/mL	2	7	0.051
100 µg/mL	3	7	0.053
Control	1	7	0.208
Control	2	7	0.193
Control	3	7	0.187
100 µg/mL	1	20	0.033
100 µg/mL	2	20	0.05
100 µg/mL	3	20	0.052
Control	1	20	0.491
Control	2	20	0.341
Control	3	20	0.29
