index,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales,d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales,d__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales,d__Bacteria;p__Cyanobacteria;c__Vampirivibrionia;o__Gastranaerophilales,d__Bacteria;p__Firmicutes;c__Clostridia;__,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales,d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Chloroplast,d__Bacteria;p__Firmicutes;c__Clostridia;o__MAT-CR-H4-C10,d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales,d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales,d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Izemoplasmatales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia,d__Bacteria;p__Firmicutes;c__Incertae_Sedis;o__DTU014,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales,d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales,d__Bacteria;p__Firmicutes;c__Clostridia;o__uncultured,d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__Elusimicrobiales,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales,d__Bacteria;__;__;__,group
153,29986.0,11651.0,15844.0,37.0,7680.0,251.0,446.0,392.0,1587.0,2.0,1502.0,359.0,28.0,33.0,88.0,502.0,4.0,621.0,178.0,17.0,10.0,126.0,9.0,113.0,304.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,OMS
090,28760.0,4169.0,7873.0,4769.0,104.0,84.0,254.0,37.0,61.0,1.0,82.0,2.0,3.0,128.0,168.0,7.0,10.0,166.0,0.0,51.0,3.0,9.0,0.0,7.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O
024,29093.0,9750.0,16987.0,12448.0,1895.0,194.0,133.0,314.0,1383.0,0.0,132.0,12.0,14.0,174.0,22.0,58.0,69.0,56.0,438.0,162.0,496.0,82.0,0.0,55.0,189.0,54.0,0.0,0.0,20.0,0.0,5.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O
015,71692.0,5647.0,5190.0,2034.0,731.0,117.0,80.0,101.0,297.0,0.0,9.0,132.0,49.0,53.0,32.0,35.0,55.0,51.0,5.0,216.0,1.0,61.0,0.0,23.0,22.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NW
074,53521.0,27719.0,30234.0,3639.0,2030.0,1821.0,592.0,300.0,1077.0,1568.0,34.0,7.0,83.0,311.0,1097.0,135.0,7.0,145.0,273.0,46.0,7.0,153.0,0.0,61.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,20.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O
146,48933.0,8899.0,4853.0,38.0,2736.0,1295.0,888.0,1514.0,23.0,5.0,0.0,632.0,248.0,21.0,27.0,5.0,3.0,10.0,4.0,2.0,1.0,54.0,1.0,3.0,4.0,0.0,46.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OMS
258,96881.0,83530.0,36499.0,862.0,1930.0,9391.0,4703.0,8572.0,227.0,2.0,5.0,13.0,689.0,136.0,954.0,41.0,100.0,448.0,60.0,61.0,61.0,285.0,88.0,184.0,28.0,0.0,5.0,68.0,9.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,OMS
164,84863.0,22140.0,10333.0,648.0,339.0,863.0,84.0,283.0,54.0,24.0,7.0,19.0,51.0,189.0,44.0,429.0,50.0,11.0,396.0,2.0,15.0,56.0,32.0,34.0,3.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,NW
